chr7	8152814	8302185	1
chr2	239146907	239148681	1
chr1	205681946	205719372	1
chr17	40128438	40169715	1
chr1	113066140	113162040	1
chr3	47057897	47205467	1
chr11	107661716	107729914	1
chr20	3764497	3767337	1
chr12	111157612	111180783	1
chr7	29959718	30029734	1
chr7	57187325	57207571	0
chr18	15313554	15325918	0
chr9	72434320	72435655	0
chr22	46435786	46440748	0
chr20	29976770	29978452	0
chrX	120111460	120114778	0
chr17	58179120	58180280	0
chrX	108866928	108868393	0
chr8	124657914	124665190	0
chr1	34610	36081	0
chr6_mcf_hap5	1059266	1061309	0
