chr6	35227509	35263760	1
chr17	73008779	73017356	1
chr11	76571916	76734850	1
chr11	2398546	2418649	1
chr7	28475233	28865511	1
chr19	57702867	57734214	1
chr11	102218104	102249401	1
chr9	140500095	140509812	1
chr7	75508316	75518244	1
chr4	2470794	2517586	1
chr15	66994673	67074337	1
chr7	156433352	156469820	1
chr6_mcf_hap5	927946	943331	0
chr20	58571416	58588168	0
chr1	149553002	149553787	0
chr7	47694841	47701246	0
chrX	49216677	49223939	0
chr6_mcf_hap5	858885	859948	0
chrX	144902865	144907360	0
chr20	31755959	31769223	0
chr15	28623783	28637171	0
chr1	149553002	149553662	0
chr6_mann_hap4	927717	943106	0
chrX	79675945	79700810	0
chrX	153448084	153461637	0
chr6_qbl_hap6	729513	735384	0
